"REF_DATE","GEO","DGUID","Percent","Gender (3a)","Age (15A)","First official language spoken (5)","Immigrant and generation status (9)","Visible minority (15)","Highest certificate, diploma or degree (7A)","Census year (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","West Asian","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.10.3.1","22.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","West Asian","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.10.4.1","17.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","West Asian","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.10.5.1","45.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","West Asian","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.10.6.1","23.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","West Asian","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.10.7.1","21.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Korean","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.11.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Korean","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.11.2.1","6.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Korean","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.11.3.1","23.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Korean","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.11.4.1","19.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Korean","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.11.5.1","50.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Korean","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.11.6.1","36.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Korean","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.11.7.1","14.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Japanese","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.12.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Japanese","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.12.2.1","8.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Japanese","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.12.3.1","25.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Japanese","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.12.4.1","27.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Japanese","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.12.5.1","39.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Japanese","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.12.6.1","28.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Japanese","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.12.7.1","10.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Visible minority, n.i.e.","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.13.1.1","100.0","","","","1"
